ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),PCA1,PCA2,Cluster,Inequality Status
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,0.50919338182255,-0.0459981079053174,-0.0555774666642547,-1.38778516127544,-1.36990185733041,-1.35058202235651,-1.35498319050128,-1.41771648960115,-1.08006786578924,-1.04248125882982,-1.03616006282739,-0.986749556616781,-0.986749556616781,-3.53803026747534,0.736180526230764,2,High Inequality
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,-0.0594997222754905,0.283319761317448,0.310188480910724,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,0.6133997030053,0.636044305351787,0.656949220980962,0.580208798250402,0.623053446433131,0.623053446433131,1.15741991590681,-0.611411062464521,0,Low Inequality
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,0.839402280976252,-0.705192341788773,-0.656484830984876,-0.639992729823839,-0.61377544766835,-0.590991094602577,-0.584454945210787,-1.22226119715752,-1.20251511170621,-1.16373824038355,-1.15733770436341,-1.1074349619995,-1.1074349619995,-3.11094346518253,0.630180646685162,2,High Inequality
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,-0.0594997222754905,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.516509794188279,-0.469210161287712,-0.469210161287712,-0.592466160891869,0.350188830732609,0,Low Inequality
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,-0.683227642899148,-0.137012179270729,-0.100857239042606,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.286492566967084,-0.0313734329641715,0,Low Inequality
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,0.0505699107757432,-0.0459981079053174,-0.0555774666642547,-0.502814460658496,-0.475068357592165,-0.451648458383712,-0.443105920285815,-0.490529588015565,-0.469628095031389,-0.708709342390978,-0.702606537687939,-0.654550960505907,-0.654550960505907,-1.65014270630792,0.584881045382652,0,Low Inequality
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,-0.848332092475999,-0.142532447467248,0.0545258416798421,0.0661268909260779,0.0914472526545315,0.117462886591925,0.134200034796685,0.0964688351750618,0.118297201334402,0.144234944957918,0.149779657137145,0.194372753152337,0.194372753152337,0.360002021153166,-0.233277798311062,0,Low Inequality
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,0.655952892557529,0.0587209464453632,0.0905516352535144,0.0946004236063423,0.129004580991841,0.155192299969307,0.172472712396294,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,0.176249317683003,0.176249317683003,0.235967138062271,0.0874321988725006,0,Low Inequality
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,1.2063010578137,-0.282623661446737,-0.243251786648852,0.0109353764230545,0.044407105703004,0.070207204991593,0.0862639206422189,0.00209393986976514,0.0237732876409603,0.0506298632488169,0.0562358224485913,0.101208903226382,0.101208903226382,0.0185652780850583,-0.337292233740069,0,Low Inequality
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,1.31637069086493,-0.0459981079053174,-0.0555774666642547,0.0858486470880348,0.120155267895549,0.146302439942065,0.163454847651748,0.126214811057477,0.377274633470399,0.40069495331647,0.406071860381759,0.449623870874532,0.449623870874532,0.76928724619597,-0.55117598189791,0,Low Inequality
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,-0.316328866061702,-1.91824561407438,-1.86550535511926,-1.81480757875613,-1.81183600588946,-1.84302971755187,-1.85452161916343,-1.92564173680547,-1.90700629241958,-1.86138132304181,-1.85452431009288,-1.80178952339653,-1.80178952339653,-6.42092306555008,-0.179270918119941,2,High Inequality
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,-0.664882704057276,0.799912182884819,0.490471478489932,0.187910553703161,0.303402675911812,0.281159081644638,0.308188052196751,0.182507220412676,0.157069558534248,0.208523967593218,0.21369418343889,0.258027652016483,0.258027652016483,1.03586343175494,0.452236054876018,0,Low Inequality
USA,United States,America,Northern Hemisphere,Very High,SSA,-1.34364544120655,0.221390201757611,0.299657768145958,0.307384290214551,0.301386705318856,0.56934174945828,0.518527103055575,0.476828438195702,0.564380765778815,0.549465334837536,0.55226612509389,0.213946448796697,0.213946448796697,1.3906558991366,-0.193266566992793,0,Low Inequality
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,0.123949666143232,-0.394510293178616,-0.352666553057106,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.423961066352026,-0.281233553074205,0,Low Inequality
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,High,LAC,-0.0961895999592351,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,0.472503504138806,-0.487278453919433,-0.348987748546633,-0.112185193326917,-0.0800856150642812,-0.162615567054826,-0.14991125661939,-0.192412439309723,-0.171040217994303,-0.142289932393229,-0.13655774326585,-0.0908015150198962,-0.0908015150198962,-0.61342529104626,-0.278781686865154,0,Low Inequality
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,0.380778809929444,-0.129634523485805,-0.0936425747717013,-0.0865256816122289,-0.129156766238488,-0.104151924418429,-0.0906057984734932,-0.132111293770242,-0.11064385667225,-0.0824806617485738,-0.0767876066036791,-0.968434505722061,-0.968434505722061,-0.862063204724171,0.430638268937463,0,Low Inequality
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,0.839402280976252,-0.448312021744306,-0.405279662168139,-0.39297186075135,-0.36400158665078,-0.340072787300214,-0.329923675848942,-0.375447111500792,-0.354363902763731,-0.323831595466014,-0.31798062127093,-0.27148743447011,-0.27148743447011,-1.20632106649699,-0.178380302219361,0,Low Inequality
WSM,Samoa,Oceania,Southern Hemisphere,High,EAP,0.307399054561955,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,0.0285302169141912,0.0285302169141912,-0.173556969782215,-0.032193824392454,0,Low Inequality
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,1.62823465117676,-0.325186529820879,-0.284874331082775,-0.274572109401625,-0.0796525199518605,-0.0544208531529453,-0.040158651623126,-0.0808171829180514,-0.059268752186151,-0.0316049556406858,-0.0259451891309851,0.0193617194429311,0.0193617194429311,-0.340596932240868,-0.38267318375036,0,Low Inequality
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,1.09623142476246,2.71577010663592,2.68889970148334,2.64966806212759,2.71254787282286,3.54947350105154,3.61562802446135,3.63634699231764,3.66376484215799,3.14288890365064,3.14647155760325,3.17889178018246,3.17889178018246,10.9557016634556,-0.646291488050229,1,Medium Inequality
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,0.949471914027485,1.59225517667209,1.7649493388899,1.74110784968157,1.79386196145967,1.82767793999971,0.672146317003198,0.643446770594691,0.666138817397314,0.686751195412037,0.933310213856401,0.97472052745119,0.97472052745119,4.09329272982705,1.41331634722811,1,Medium Inequality
